('Delta Air Lines', '2020-09-11T10:57', '2020-09-12T02:04', '907', '7183', '500', 'DL 144', 'E-170', '240', '6', '13'), 
('Lufthansa', '2020-06-29T15:32', '2020-06-30T22:02', '1830', '6861', '500', 'LH 315', 'A318', '72', '4', '15'), 
('Norwegian', '2020-05-26T15:34', '2020-05-26T22:03', '389', '5538', '500', 'NW 1275', 'CRJ1000', '515', '22', '24'), 
('Alaska Airlines', '2020-07-05T02:32', '2020-07-06T16:26', '2274', '7996', '1000', 'AS 531', 'A350', '499', '3', '14'), 
('Delta Air Lines', '2020-11-02T06:21', '2020-11-02T18:47', '746', '7513', '500', 'DL 868', 'Boeing 747', '403', '28', '25'), 
('Air Canada', '2020-04-19T05:44', '2020-04-19T22:21', '997', '9950', '1000', 'AC 842', 'Boeing 767', '401', '4', '26'), 
('WOW Air', '2020-11-25T16:58', '2020-11-26T02:27', '569', '7025', '500', 'WA 769', 'A318', '398', '27', '9'), 
('American Airlines', '2020-05-14T10:37', '2020-05-14T19:19', '522', '6445', '500', 'AA 383', 'SR-71 Blackbird', '445', '18', '13'), 
('Frontier Airlines', '2020-04-21T01:36', '2020-04-22T09:01', '1885', '1209', '300', 'F9 1413', 'CRJ900', '388', '17', '19'), 
('Air Canada', '2020-10-13T02:25', '2020-10-14T14:26', '2161', '4446', '1000', 'AC 1410', 'Boeing 767', '177', '0', '19'), 
('British Airways', '2020-06-27T14:18', '2020-06-28T16:57', '1599', '4171', '200', 'BA 992', 'E-170', '579', '22', '12'), 
('Finnair', '2020-05-05T07:12', '2020-05-05T19:07', '715', '4916', '300', 'FA 899', 'CRJ700', '127', '25', '1'), 
('Delta Air Lines', '2020-10-29T11:39', '2020-10-30T13:52', '1573', '1526', '1000', 'DL 1408', 'A340', '232', '11', '22'), 
('American Airlines', '2020-11-05T03:36', '2020-11-06T09:22', '1786', '6307', '1000', 'AA 1600', 'A321', '357', '9', '22'), 
('Norwegian', '2020-03-01T09:41', '2020-03-02T20:25', '2084', '3077', '500', 'NW 196', 'E-170', '89', '6', '13'), 
('American Airlines', '2020-09-07T17:04', '2020-09-08T15:28', '1344', '9473', '500', 'AA 854', 'Boeing 737', '337', '7', '2'), 
('Air Canada', '2020-10-26T05:33', '2020-10-26T09:45', '252', '4688', '300', 'AC 1812', 'CRJ705', '539', '5', '8'), 
('Finnair', '2020-03-06T16:17', '2020-03-07T21:16', '1739', '4299', '500', 'FA 208', 'A340', '390', '24', '2'), 
('Finnair', '2020-11-14T18:41', '2020-11-14T22:30', '229', '2167', '1000', 'FA 291', 'A319', '173', '27', '6'), 
('Finnair', '2020-03-29T04:56', '2020-03-29T20:14', '918', '1093', '300', 'FA 381', 'Boeing 767', '453', '19', '5'), 
('SAS', '2020-03-19T16:51', '2020-03-20T13:58', '1267', '4475', '500', 'SA 1022', 'A318', '160', '13', '14'), 
('Frontier Airlines', '2020-07-12T17:07', '2020-07-12T21:15', '248', '8160', '500', 'F9 825', 'A220', '473', '1', '27'), 
('Finnair', '2020-12-24T02:12', '2020-12-24T06:19', '247', '8329', '300', 'FA 1828', 'E-190', '270', '29', '22'), 
('American Airlines', '2020-09-10T17:02', '2020-09-11T13:09', '1207', '3205', '200', 'AA 1600', 'Boeing 737', '177', '16', '27'), 
('Norwegian', '2020-07-28T00:30', '2020-07-29T21:36', '2706', '3637', '500', 'NW 835', 'A321', '303', '8', '17'), 
('Lufthansa', '2020-07-04T17:31', '2020-07-05T08:20', '889', '7802', '300', 'LH 1446', 'Boeing 747', '264', '3', '2'), 
('Air Canada', '2020-12-17T13:57', '2020-12-17T23:12', '555', '8362', '1000', 'AC 1545', 'E-195', '472', '14', '20'), 
('WOW Air', '2020-08-19T03:11', '2020-08-19T13:15', '604', '7128', '500', 'WA 346', 'A320', '246', '17', '27'), 
('Alaska Airlines', '2020-07-22T05:43', '2020-07-22T15:05', '562', '2293', '1000', 'AS 1531', 'A350', '536', '5', '15'), 
('American Airlines', '2020-02-16T17:20', '2020-02-17T09:04', '944', '5485', '500', 'AA 454', 'A340', '309', '24', '22'), 
('Alaska Airlines', '2020-04-01T13:33', '2020-04-01T16:37', '184', '1130', '300', 'AS 698', 'A318', '552', '16', '21'), 
('Delta Air Lines', '2020-07-03T15:28', '2020-07-03T19:48', '260', '9504', '1000', 'DL 533', 'E-175', '151', '1', '6'), 
('British Airways', '2020-08-18T07:36', '2020-08-18T23:31', '955', '1974', '1000', 'BA 924', 'SR-71 Blackbird', '262', '14', '24'), 
('Lufthansa', '2020-07-24T01:22', '2020-07-24T16:06', '884', '2181', '200', 'LH 1969', 'Boeing 777', '171', '17', '1'), 
('JetBlue Airways', '2020-04-04T10:04', '2020-04-04T14:14', '250', '7013', '300', 'B6 1795', 'A310', '317', '15', '24'), 
('British Airways', '2020-08-18T14:25', '2020-08-18T18:36', '251', '4831', '500', 'BA 1187', 'A220', '162', '21', '18'), 
('Norwegian', '2020-04-22T07:04', '2020-04-23T19:44', '2200', '8142', '300', 'NW 760', 'Boeing 787', '236', '7', '26'), 
('SAS', '2020-04-28T13:30', '2020-04-28T16:29', '179', '6523', '1000', 'SA 761', 'Boeing 787', '547', '2', '21'), 
('British Airways', '2020-05-14T08:21', '2020-05-15T12:07', '1666', '8687', '300', 'BA 1923', 'A380', '278', '19', '8'), 
('Frontier Airlines', '2020-03-18T12:32', '2020-03-18T16:21', '229', '3905', '1000', 'F9 1017', 'A340', '541', '18', '22'), 
('Lufthansa', '2020-05-26T17:21', '2020-05-27T02:33', '552', '5715', '500', 'LH 1559', 'E-195', '501', '25', '23'), 
('Norwegian', '2020-05-10T10:58', '2020-05-10T20:13', '555', '2255', '500', 'NW 379', 'Boeing 787', '224', '2', '14'), 
('Delta Air Lines', '2020-10-02T20:13', '2020-10-02T23:37', '204', '5354', '1000', 'DL 1198', 'Boeing 737', '366', '25', '21'), 
('British Airways', '2020-06-03T03:27', '2020-06-04T18:28', '2341', '5118', '300', 'BA 1216', 'CRJ1000', '415', '0', '3'), 
('JetBlue Airways', '2020-10-17T19:02', '2020-10-17T21:51', '169', '2368', '500', 'B6 514', 'A300', '472', '28', '18'), 
('British Airways', '2020-05-16T18:51', '2020-05-17T04:19', '568', '2494', '300', 'BA 1872', 'A320', '502', '2', '20'), 
('JetBlue Airways', '2020-07-15T08:39', '2020-07-16T00:02', '923', '2898', '500', 'B6 1232', 'CRJ700', '244', '17', '4'), 
('Delta Air Lines', '2020-12-24T02:20', '2020-12-24T16:32', '852', '8022', '500', 'DL 283', 'Boeing 787', '456', '23', '6'), 
('Lufthansa', '2020-08-14T12:19', '2020-08-15T02:08', '829', '7667', '200', 'LH 392', 'Boeing 737', '515', '4', '22'), 
('Alaska Airlines', '2020-03-26T20:41', '2020-03-27T12:12', '931', '7128', '500', 'AS 513', 'A318', '233', '19', '20'), 
('Norwegian', '2020-05-27T18:42', '2020-05-28T23:54', '1752', '1558', '500', 'NW 617', 'E-190', '413', '4', '21'), 
('Norwegian', '2020-09-25T07:37', '2020-09-26T01:11', '1054', '9555', '500', 'NW 342', 'A220', '318', '24', '15'), 
('Lufthansa', '2020-07-24T20:37', '2020-07-24T23:26', '169', '3436', '200', 'LH 457', 'E-175', '133', '26', '28'), 
('Finnair', '2020-12-07T08:39', '2020-12-08T15:55', '1876', '2907', '500', 'FA 111', 'CRJ705', '393', '28', '24'), 
('Alaska Airlines', '2020-08-14T13:55', '2020-08-14T20:29', '394', '4333', '1000', 'AS 1034', 'Boeing 737', '111', '9', '5'), 
('SAS', '2020-10-25T13:48', '2020-10-25T20:52', '424', '4894', '300', 'SA 937', 'Boeing 767', '580', '20', '3'), 
('SAS', '2020-12-24T08:48', '2020-12-25T01:16', '988', '6891', '1000', 'SA 1014', 'E-170', '598', '5', '9'), 
('Delta Air Lines', '2020-08-20T18:57', '2020-08-21T21:37', '1600', '2722', '500', 'DL 418', 'A350', '485', '17', '2'), 
('British Airways', '2020-04-03T13:27', '2020-04-03T17:59', '272', '4555', '300', 'BA 705', 'SR-71 Blackbird', '235', '12', '17'), 
('British Airways', '2020-02-13T07:33', '2020-02-13T20:05', '752', '5671', '500', 'BA 697', 'CRJ700', '370', '10', '5'), 
('Air Canada', '2020-07-30T17:21', '2020-07-31T19:49', '1588', '1673', '300', 'AC 495', 'A350', '344', '14', '16'), 
('Delta Air Lines', '2020-05-24T08:52', '2020-05-25T21:17', '2185', '3905', '1000', 'DL 663', 'CRJ705', '412', '15', '18'), 
('Air Canada', '2020-04-10T08:14', '2020-04-11T12:12', '1678', '6533', '200', 'AC 1523', 'A350', '223', '20', '21'), 
('Finnair', '2020-11-29T08:06', '2020-11-29T21:34', '808', '7866', '500', 'FA 633', 'CRJ705', '313', '7', '0'), 
('JetBlue Airways', '2020-05-20T07:24', '2020-05-21T22:20', '2336', '2227', '300', 'B6 195', 'Boeing 737', '538', '19', '1'), 
('Delta Air Lines', '2020-02-24T02:47', '2020-02-24T20:26', '1059', '531', '1000', 'DL 1665', 'Boeing 777', '507', '10', '24'), 
('WOW Air', '2020-03-02T12:46', '2020-03-02T17:09', '263', '1598', '300', 'WA 1788', 'A319', '508', '16', '13'), 
('Delta Air Lines', '2020-12-22T17:47', '2020-12-22T20:26', '159', '3519', '200', 'DL 452', 'CRJ705', '551', '17', '21'), 
('Lufthansa', '2020-02-21T07:23', '2020-02-21T21:57', '874', '9539', '500', 'LH 207', 'E-195', '464', '14', '0'), 
('JetBlue Airways', '2020-08-03T02:40', '2020-08-03T12:52', '612', '5250', '200', 'B6 966', 'E-195', '482', '4', '8'), 
('American Airlines', '2020-04-19T19:55', '2020-04-19T23:09', '194', '9216', '300', 'AA 1042', 'E-175', '198', '11', '20'), 
('Alaska Airlines', '2020-04-18T23:50', '2020-04-19T05:11', '321', '1651', '300', 'AS 1346', 'A319', '91', '22', '17'), 
('Lufthansa', '2020-10-08T11:32', '2020-10-08T13:32', '120', '9679', '500', 'LH 135', 'A321', '201', '11', '10'), 
('American Airlines', '2020-02-03T14:49', '2020-02-04T14:52', '1443', '8909', '200', 'AA 1956', 'A321', '324', '24', '12'), 
('Frontier Airlines', '2020-03-04T18:06', '2020-03-04T21:04', '178', '9649', '300', 'F9 1279', 'A220', '377', '10', '9'), 
('Norwegian', '2020-11-14T15:23', '2020-11-15T02:36', '673', '6583', '300', 'NW 1485', 'E-190', '539', '26', '23'), 
('Frontier Airlines', '2020-06-11T22:49', '2020-06-11T23:00', '11', '6846', '200', 'F9 1575', 'A310', '284', '15', '23'), 
('Frontier Airlines', '2020-11-08T15:01', '2020-11-09T04:26', '805', '7219', '300', 'F9 1394', 'Boeing 787', '249', '10', '28'), 
('Frontier Airlines', '2020-03-16T22:24', '2020-03-17T18:33', '1209', '9693', '500', 'F9 1054', 'A310', '481', '29', '13'), 
('British Airways', '2020-12-25T09:46', '2020-12-25T20:42', '656', '7013', '300', 'BA 983', 'E-175', '595', '17', '16'), 
('Finnair', '2020-06-20T20:43', '2020-06-20T22:49', '126', '1996', '1000', 'FA 1048', 'A310', '565', '7', '17'), 
('Delta Air Lines', '2020-11-20T11:26', '2020-11-21T18:25', '1859', '6868', '500', 'DL 1617', 'E-175', '438', '19', '11'), 
('Air Canada', '2020-09-10T12:43', '2020-09-11T21:57', '1994', '6755', '500', 'AC 632', 'A320', '348', '13', '8'), 
('Frontier Airlines', '2020-03-22T05:11', '2020-03-22T13:27', '496', '2542', '500', 'F9 1076', 'Boeing 747', '411', '28', '18'), 
('SAS', '2020-04-20T18:29', '2020-04-21T14:13', '1184', '5293', '500', 'SA 641', 'A340', '291', '6', '10'), 
('SAS', '2020-03-07T08:51', '2020-03-07T22:15', '804', '6448', '200', 'SA 1168', 'Boeing 787', '155', '27', '23'), 
('Delta Air Lines', '2020-02-18T12:18', '2020-02-18T14:53', '155', '6249', '300', 'DL 908', 'E-190', '350', '3', '24'), 
('American Airlines', '2020-03-08T18:38', '2020-03-09T01:25', '407', '7087', '500', 'AA 278', 'CRJ1000', '111', '19', '4'), 
('Finnair', '2020-06-29T03:42', '2020-06-29T15:45', '723', '3005', '500', 'FA 869', 'Boeing 787', '218', '15', '6'), 
('Frontier Airlines', '2020-06-07T14:54', '2020-06-07T18:42', '228', '1470', '300', 'F9 628', 'E-170', '386', '23', '8'), 
('Finnair', '2020-01-09T06:15', '2020-01-10T03:18', '1263', '6399', '500', 'FA 602', 'A380', '333', '26', '16'), 
('Frontier Airlines', '2020-04-28T16:14', '2020-04-29T04:10', '716', '9771', '500', 'F9 696', 'E-170', '347', '12', '19'), 
('Lufthansa', '2020-04-18T05:30', '2020-04-19T19:24', '2274', '3517', '200', 'LH 876', 'Boeing 747', '561', '25', '19'), 
('WOW Air', '2020-09-23T20:41', '2020-09-24T04:23', '462', '5428', '300', 'WA 1785', 'E-175', '253', '11', '8'), 
('Delta Air Lines', '2020-12-18T19:04', '2020-12-18T21:32', '148', '835', '500', 'DL 787', 'A340', '296', '5', '8'), 
('Delta Air Lines', '2020-03-14T03:50', '2020-03-14T20:20', '990', '4907', '200', 'DL 1001', 'E-190', '568', '15', '11'), 
('Frontier Airlines', '2020-06-30T23:16', '2020-06-30T25:15', '119', '8992', '300', 'F9 1504', 'CRJ900', '290', '16', '5'), 
('SAS', '2020-07-27T06:36', '2020-07-28T08:42', '1566', '4963', '300', 'SA 1992', 'A350', '246', '26', '3'), 
('SAS', '2020-04-14T11:10', '2020-04-15T20:19', '1989', '7521', '300', 'SA 1756', 'A350', '194', '26', '4'), 
('SAS', '2020-09-11T13:39', '2020-09-11T23:57', '618', '1428', '500', 'SA 895', 'A318', '518', '6', '2'), 
('Norwegian', '2020-05-20T14:17', '2020-05-21T15:45', '1528', '3100', '500', 'NW 1332', 'Boeing 747', '212', '2', '26'), 
('SAS', '2020-08-15T08:02', '2020-08-16T23:15', '2353', '6181', '500', 'SA 1628', 'CRJ700', '322', '25', '1'), 
('WOW Air', '2020-06-24T06:51', '2020-06-24T13:21', '390', '4149', '500', 'WA 1552', 'E-170', '332', '20', '1'), 
('Norwegian', '2020-11-04T03:02', '2020-11-04T13:26', '624', '1031', '500', 'NW 675', 'A350', '525', '12', '14'), 
('JetBlue Airways', '2020-12-17T23:08', '2020-12-18T04:21', '313', '9361', '1000', 'B6 845', 'Boeing 747', '314', '2', '21'), 
('Lufthansa', '2020-02-13T11:40', '2020-02-14T15:55', '1695', '3398', '300', 'LH 1941', 'E-195', '191', '24', '18'), 
('Frontier Airlines', '2020-12-01T17:01', '2020-12-02T15:35', '1354', '4150', '500', 'F9 1435', 'Boeing 747', '310', '18', '9'), 
('Lufthansa', '2020-02-22T04:58', '2020-02-23T09:28', '1710', '1879', '200', 'LH 986', 'Boeing 767', '209', '4', '13'), 
('British Airways', '2020-05-15T21:37', '2020-05-15T23:46', '129', '7862', '300', 'BA 739', 'A380', '363', '4', '6'), 
('Finnair', '2020-12-30T23:05', '2020-12-30T24:10', '65', '4321', '1000', 'FA 1345', 'A350', '266', '24', '9'), 
('SAS', '2020-06-20T14:13', '2020-06-20T18:20', '247', '6484', '200', 'SA 548', 'Boeing 787', '292', '2', '4'), 
('Alaska Airlines', '2020-10-24T17:00', '2020-10-24T23:04', '364', '4033', '300', 'AS 1320', 'CRJ705', '378', '6', '18'), 
('American Airlines', '2020-06-20T20:38', '2020-06-21T01:36', '298', '3485', '300', 'AA 335', 'Boeing 787', '362', '25', '27'), 
('Lufthansa', '2020-06-07T18:43', '2020-06-07T23:09', '266', '8804', '1000', 'LH 1922', 'E-175', '181', '17', '12'), 
('American Airlines', '2020-10-01T07:06', '2020-10-02T08:28', '1522', '5470', '500', 'AA 244', 'A310', '329', '14', '7'), 
('SAS', '2020-07-13T15:35', '2020-07-13T21:50', '375', '1646', '500', 'SA 562', 'E-195', '484', '29', '9'), 
('JetBlue Airways', '2020-04-25T12:23', '2020-04-25T15:01', '158', '5202', '500', 'B6 498', 'CRJ900', '517', '22', '14'), 
('Finnair', '2020-08-24T08:48', '2020-08-24T19:37', '649', '7090', '300', 'FA 400', 'A220', '136', '12', '22'), 
('Norwegian', '2020-05-09T13:23', '2020-05-09T18:19', '296', '1220', '300', 'NW 304', 'A319', '467', '10', '2'), 
('WOW Air', '2020-03-17T02:07', '2020-03-17T21:33', '1166', '9297', '300', 'WA 1134', 'A319', '144', '21', '9'), 
('Lufthansa', '2020-08-06T19:56', '2020-08-07T05:21', '565', '6590', '1000', 'LH 1869', 'A310', '442', '5', '4'), 
('SAS', '2020-01-13T19:29', '2020-01-14T10:15', '886', '7365', '200', 'SA 1572', 'A321', '188', '11', '4'), 
('Frontier Airlines', '2020-05-06T16:58', '2020-05-06T22:15', '317', '7131', '300', 'F9 860', 'A310', '311', '26', '18'), 
('Delta Air Lines', '2020-02-23T13:32', '2020-02-23T18:07', '275', '1992', '300', 'DL 1825', 'A350', '566', '9', '27'), 
('Norwegian', '2020-09-15T01:35', '2020-09-16T16:38', '2343', '6444', '200', 'NW 1719', 'Boeing 777', '135', '6', '14'), 
('Norwegian', '2020-11-10T11:04', '2020-11-10T18:06', '422', '5769', '500', 'NW 1483', 'A340', '406', '25', '13'), 
('British Airways', '2020-11-18T05:47', '2020-11-19T19:11', '2244', '4440', '500', 'BA 1231', 'A310', '58', '1', '0'), 
('Lufthansa', '2020-11-23T06:58', '2020-11-23T10:04', '186', '1491', '1000', 'LH 1788', 'Boeing 737', '199', '27', '29'), 
('Finnair', '2020-11-26T02:40', '2020-11-27T06:06', '1646', '1063', '1000', 'FA 1214', 'A321', '366', '25', '14'), 
('British Airways', '2020-07-01T20:39', '2020-07-01T22:55', '136', '2594', '300', 'BA 1192', 'A310', '217', '12', '29'), 
('Delta Air Lines', '2020-07-04T15:50', '2020-07-04T23:34', '464', '8868', '300', 'DL 1150', 'A340', '255', '4', '6'), 
('WOW Air', '2020-06-25T21:38', '2020-06-26T02:46', '308', '796', '500', 'WA 1187', 'E-170', '573', '4', '16'), 
('Lufthansa', '2020-01-22T12:45', '2020-01-22T22:28', '583', '6260', '500', 'LH 965', 'Boeing 767', '321', '4', '14'), 
('Finnair', '2020-07-26T22:11', '2020-07-27T02:18', '247', '8654', '300', 'FA 1528', 'Boeing 767', '419', '20', '13'), 
('American Airlines', '2020-10-02T20:10', '2020-10-03T05:12', '542', '1721', '1000', 'AA 1315', 'A330', '467', '17', '26'), 
('Lufthansa', '2020-10-02T14:40', '2020-10-03T02:59', '739', '8215', '500', 'LH 683', 'CRJ700', '180', '16', '3'), 
('Alaska Airlines', '2020-01-24T18:46', '2020-01-24T21:01', '135', '5304', '200', 'AS 1783', 'E-170', '197', '3', '19'), 
('SAS', '2020-12-18T11:54', '2020-12-19T22:55', '2101', '4492', '500', 'SA 1588', 'CRJ900', '196', '20', '9'), 
('Alaska Airlines', '2020-04-27T14:59', '2020-04-27T18:22', '203', '1515', '500', 'AS 1191', 'A319', '284', '23', '0'), 
('WOW Air', '2020-10-05T11:45', '2020-10-05T18:56', '431', '8073', '1000', 'WA 1707', 'CRJ1000', '434', '6', '29'), 
('Alaska Airlines', '2020-05-04T03:08', '2020-05-05T20:52', '2504', '1690', '200', 'AS 182', 'E-195', '578', '10', '5'), 
('Norwegian', '2020-01-20T08:13', '2020-01-21T02:39', '1106', '6192', '500', 'NW 1426', 'A318', '173', '11', '17'), 
('Frontier Airlines', '2020-07-16T20:52', '2020-07-17T07:38', '646', '5034', '200', 'F9 912', 'A330', '309', '21', '5'), 
('Lufthansa', '2020-02-24T16:24', '2020-02-25T15:52', '1408', '6573', '200', 'LH 1773', 'E-195', '350', '2', '0'), 
('Lufthansa', '2020-08-04T10:50', '2020-08-05T01:49', '899', '7490', '300', 'LH 755', 'A380', '130', '5', '29'), 
('Frontier Airlines', '2020-10-11T05:42', '2020-10-11T23:31', '1069', '9394', '300', 'F9 731', 'A340', '61', '17', '25'), 
('SAS', '2020-02-11T07:48', '2020-02-11T21:34', '826', '2871', '300', 'SA 1856', 'A220', '324', '28', '17'), 
('SAS', '2020-11-21T05:03', '2020-11-21T17:01', '718', '2502', '300', 'SA 684', 'A318', '80', '23', '26'), 
('JetBlue Airways', '2020-10-14T03:49', '2020-10-14T11:30', '461', '9433', '1000', 'B6 1730', 'A320', '114', '8', '23'), 
('Lufthansa', '2020-07-28T02:11', '2020-07-28T06:28', '257', '727', '500', 'LH 1570', 'Boeing 787', '381', '2', '8'), 
('SAS', '2020-11-17T02:14', '2020-11-17T04:29', '135', '7608', '200', 'SA 1868', 'A330', '474', '21', '11'), 
('Air Canada', '2020-06-23T21:30', '2020-06-23T23:52', '142', '5572', '300', 'AC 1067', 'A320', '394', '14', '20'), 
('Delta Air Lines', '2020-10-15T10:31', '2020-10-16T17:12', '1841', '7501', '500', 'DL 1380', 'Boeing 777', '518', '5', '19'), 
('WOW Air', '2020-03-08T07:07', '2020-03-09T09:48', '1601', '5366', '200', 'WA 816', 'E-190', '396', '7', '11'), 
('Delta Air Lines', '2020-03-18T10:50', '2020-03-19T06:10', '1160', '4469', '300', 'DL 236', 'E-175', '568', '13', '23'), 
('British Airways', '2020-12-05T06:33', '2020-12-06T15:48', '1995', '1642', '200', 'BA 954', 'A321', '337', '4', '22'), 
('American Airlines', '2020-04-23T00:27', '2020-04-23T05:19', '292', '6765', '300', 'AA 1442', 'CRJ700', '212', '15', '9'), 
('American Airlines', '2020-05-01T07:21', '2020-05-01T16:42', '561', '5754', '200', 'AA 1754', 'E-195', '493', '12', '25'), 
('Norwegian', '2020-04-22T08:47', '2020-04-22T16:08', '441', '9517', '1000', 'NW 1114', 'E-195', '110', '4', '27'), 
('Finnair', '2020-04-23T06:37', '2020-04-24T09:14', '1597', '2335', '200', 'FA 1516', 'CRJ900', '475', '17', '25'), 
('American Airlines', '2020-05-22T22:34', '2020-05-22T24:06', '92', '658', '500', 'AA 1316', 'A350', '377', '14', '18'), 
('Lufthansa', '2020-08-17T09:25', '2020-08-17T14:31', '306', '6377', '200', 'LH 1335', 'A319', '345', '15', '18'), 
('Norwegian', '2020-06-13T06:10', '2020-06-14T13:01', '1851', '3053', '500', 'NW 561', 'E-170', '507', '7', '6'), 
('British Airways', '2020-11-13T16:23', '2020-11-14T15:00', '1357', '2384', '500', 'BA 217', 'A318', '296', '9', '22'), 
('Norwegian', '2020-08-14T21:07', '2020-08-15T14:46', '1059', '7541', '500', 'NW 1111', 'E-195', '421', '14', '15'), 
('Norwegian', '2020-11-19T08:51', '2020-11-19T20:30', '699', '7821', '500', 'NW 1151', 'A318', '470', '24', '19'), 
('Lufthansa', '2020-12-28T05:21', '2020-12-28T23:38', '1097', '8806', '200', 'LH 1088', 'A310', '389', '2', '15'), 
('JetBlue Airways', '2020-10-27T10:03', '2020-10-28T20:07', '2044', '846', '1000', 'B6 1794', 'Millennium Falcon', '187', '25', '5'), 
('Air Canada', '2020-09-15T03:12', '2020-09-15T15:52', '760', '8760', '500', 'AC 1924', 'A300', '226', '18', '7'), 
('Alaska Airlines', '2020-04-01T18:59', '2020-04-01T22:30', '211', '1362', '300', 'AS 172', 'CRJ705', '340', '20', '16'), 
('Alaska Airlines', '2020-08-17T03:42', '2020-08-17T08:31', '289', '8205', '500', 'AS 976', 'A318', '446', '28', '22'), 
('Delta Air Lines', '2020-10-13T16:57', '2020-10-13T22:00', '303', '8696', '300', 'DL 1728', 'CRJ705', '221', '14', '11'), 
('JetBlue Airways', '2020-03-02T20:15', '2020-03-03T19:45', '1410', '7706', '500', 'B6 836', 'Boeing 767', '306', '1', '22'), 
('Norwegian', '2020-05-26T21:15', '2020-05-27T14:53', '1058', '4306', '300', 'NW 257', 'CRJ900', '589', '7', '5'), 
('JetBlue Airways', '2020-04-13T06:14', '2020-04-14T16:29', '2055', '4646', '300', 'B6 182', 'A321', '395', '5', '20'), 
('Alaska Airlines', '2020-03-11T09:53', '2020-03-12T09:10', '1397', '3792', '300', 'AS 1390', 'Boeing 777', '206', '28', '25'), 
('Delta Air Lines', '2020-04-18T02:56', '2020-04-19T09:25', '1829', '1565', '200', 'DL 1143', 'A319', '374', '11', '12'), 
('Finnair', '2020-04-25T13:10', '2020-04-25T18:28', '318', '1530', '300', 'FA 1252', 'Boeing 747', '344', '9', '20'), 
('Air Canada', '2020-03-17T08:48', '2020-03-17T15:51', '423', '7822', '500', 'AC 1705', 'CRJ705', '293', '24', '11'), 
('SAS', '2020-06-18T02:25', '2020-06-19T09:23', '1858', '758', '500', 'SA 770', 'SR-71 Blackbird', '249', '21', '11'), 
('JetBlue Airways', '2020-10-11T08:09', '2020-10-12T16:27', '1938', '8093', '300', 'B6 1965', 'A330', '337', '28', '7'), 
('JetBlue Airways', '2020-10-02T06:21', '2020-10-02T08:50', '149', '9006', '500', 'B6 777', 'Boeing 737', '67', '8', '15'), 
('Alaska Airlines', '2020-07-10T18:11', '2020-07-10T21:48', '217', '8196', '300', 'AS 1422', 'CRJ700', '56', '6', '28'), 
('JetBlue Airways', '2020-06-29T22:33', '2020-06-29T23:35', '62', '8975', '500', 'B6 375', 'A350', '137', '23', '19'), 
('Finnair', '2020-05-28T10:52', '2020-05-29T17:13', '1821', '6286', '300', 'FA 491', 'Boeing 787', '320', '4', '21'), 
('British Airways', '2020-11-30T12:33', '2020-11-31T03:27', '894', '9664', '300', 'BA 1000', 'A330', '373', '17', '8'), 
('Norwegian', '2020-05-02T15:05', '2020-05-02T20:53', '348', '1692', '200', 'NW 1962', 'Boeing 767', '484', '23', '1'), 
('Finnair', '2020-07-15T20:44', '2020-07-16T12:13', '929', '1689', '300', 'FA 1832', 'Boeing 737', '254', '28', '23'), 
('Alaska Airlines', '2020-02-07T13:28', '2020-02-07T21:56', '508', '5502', '500', 'AS 1117', 'A340', '523', '11', '25'), 
('Alaska Airlines', '2020-03-22T06:32', '2020-03-23T06:04', '1412', '4314', '500', 'AS 1565', 'CRJ1000', '74', '18', '4'), 
('Finnair', '2020-09-14T07:48', '2020-09-15T10:01', '1573', '7331', '500', 'FA 941', 'A310', '401', '11', '6'), 
('British Airways', '2020-09-10T21:28', '2020-09-10T23:35', '127', '2068', '300', 'BA 1392', 'E-170', '178', '18', '17'), 
('SAS', '2020-05-13T13:31', '2020-05-14T22:13', '1962', '1144', '200', 'SA 380', 'A220', '351', '28', '26'), 
('JetBlue Airways', '2020-04-01T17:40', '2020-04-02T08:24', '884', '2683', '1000', 'B6 1890', 'A318', '327', '25', '21'), 
('Finnair', '2020-06-24T22:29', '2020-06-24T24:30', '121', '971', '300', 'FA 1615', 'E-175', '166', '8', '22'), 
('British Airways', '2020-10-11T14:57', '2020-10-12T15:46', '1489', '7601', '200', 'BA 1586', 'E-170', '186', '14', '19'), 
('Delta Air Lines', '2020-04-05T14:32', '2020-04-06T18:43', '1691', '2909', '500', 'DL 805', 'A320', '103', '8', '16'), 
('American Airlines', '2020-11-18T22:40', '2020-11-19T05:20', '400', '715', '200', 'AA 1180', 'A320', '437', '2', '23'), 
('Delta Air Lines', '2020-09-09T03:07', '2020-09-09T15:20', '733', '4136', '300', 'DL 844', 'E-195', '301', '24', '19'), 
('Lufthansa', '2020-03-25T04:45', '2020-03-26T11:28', '1843', '7842', '500', 'LH 156', 'A300', '385', '13', '19'), 
('JetBlue Airways', '2020-07-05T12:58', '2020-07-05T16:28', '210', '2587', '200', 'B6 1109', 'A320', '554', '7', '24'), 
('Air Canada', '2020-06-14T02:25', '2020-06-15T04:18', '1553', '9871', '300', 'AC 333', 'E-170', '496', '24', '23'), 
('American Airlines', '2020-03-16T20:13', '2020-03-17T11:13', '900', '4550', '500', 'AA 932', 'A330', '492', '22', '24'), 
('Finnair', '2020-12-29T19:11', '2020-12-30T13:31', '1100', '6929', '500', 'FA 764', 'Boeing 737', '136', '1', '28'), 
