('British Airways', '2019-02-24T16:17', '2019-02-25T17:20', '1503', '4184', '200', 'BA 1425', 'E-170', '477', '14', '15'), 
('Air Canada', '2019-10-07T12:34', '2019-10-07T22:13', '579', '6145', '300', 'AC 1396', 'A300', '572', '19', '7'), 
('WOW Air', '2019-09-07T05:00', '2019-09-07T13:34', '514', '3433', '500', 'WA 816', 'A318', '131', '28', '23'), 
('Delta Air Lines', '2018-12-17T11:37', '2018-12-17T13:09', '92', '2267', '300', 'DL 743', 'A330', '343', '1', '8'), 
('Finnair', '2018-05-10T05:09', '2018-05-11T05:36', '1467', '9380', '300', 'FA 362', 'E-190', '249', '9', '13'), 
('Delta Air Lines', '2018-10-19T00:27', '2018-10-20T14:06', '2259', '6623', '300', 'DL 566', 'E-175', '81', '18', '0'), 
('Norwegian', '2018-09-11T03:53', '2018-09-11T15:15', '682', '1007', '500', 'NW 1570', 'A220', '530', '8', '25'), 
('JetBlue Airways', '2018-05-22T18:33', '2018-05-23T09:53', '920', '4194', '500', 'B6 396', 'A330', '291', '24', '19'), 
('Lufthansa', '2018-07-07T13:46', '2018-07-08T01:19', '693', '6881', '300', 'LH 1791', 'CRJ1000', '325', '21', '1'), 
('JetBlue Airways', '2018-01-27T04:17', '2018-01-28T03:08', '1371', '5317', '500', 'B6 1836', 'SR-71 Blackbird', '325', '11', '12'), 
('Delta Air Lines', '2018-01-30T21:01', '2018-01-30T23:04', '123', '6330', '500', 'DL 716', 'CRJ700', '318', '14', '29'), 
('Delta Air Lines', '2018-10-23T16:50', '2018-10-24T14:10', '1280', '2531', '500', 'DL 1805', 'E-175', '188', '13', '1'), 
('JetBlue Airways', '2018-04-29T04:31', '2018-04-30T19:10', '2319', '3930', '200', 'B6 381', 'Boeing 737', '252', '10', '5'), 
('Delta Air Lines', '2019-03-24T07:08', '2019-03-25T23:56', '2448', '7872', '500', 'DL 1874', 'Boeing 737', '435', '24', '26'), 
('Alaska Airlines', '2019-03-13T19:33', '2019-03-13T22:56', '203', '8563', '300', 'AS 497', 'E-175', '570', '25', '2'), 
('Lufthansa', '2019-12-11T20:25', '2019-12-11T23:22', '177', '6238', '500', 'LH 343', 'E-175', '120', '20', '14'), 
('Lufthansa', '2018-05-17T02:36', '2018-05-18T02:52', '1456', '8218', '1000', 'LH 1780', 'A300', '132', '6', '24'), 
('Lufthansa', '2019-03-02T03:24', '2019-03-02T11:23', '479', '8081', '200', 'LH 1089', 'A340', '126', '15', '22'), 
('SAS', '2019-03-29T09:44', '2019-03-30T00:19', '875', '5645', '500', 'SA 465', 'A350', '202', '23', '4'), 
('WOW Air', '2019-04-21T04:26', '2019-04-22T08:44', '1698', '4518', '300', 'WA 1174', 'A220', '344', '25', '18'), 
('Alaska Airlines', '2018-07-28T18:30', '2018-07-29T16:43', '1333', '3610', '200', 'AS 1392', 'CRJ1000', '87', '15', '24'), 
('Finnair', '2019-09-13T07:43', '2019-09-13T20:50', '787', '8796', '200', 'FA 1011', 'Boeing 787', '431', '1', '10'), 
('Air Canada', '2019-08-14T18:05', '2019-08-14T22:26', '261', '9671', '1000', 'AC 1177', 'A220', '581', '26', '3'), 
('Lufthansa', '2019-06-11T10:48', '2019-06-12T03:37', '1009', '3523', '300', 'LH 148', 'SR-71 Blackbird', '487', '6', '0'), 
('JetBlue Airways', '2019-02-10T16:10', '2019-02-11T09:55', '1065', '512', '200', 'B6 890', 'Boeing 747', '465', '13', '5'), 
('Alaska Airlines', '2018-01-07T17:23', '2018-01-07T23:45', '382', '5376', '200', 'AS 453', 'E-175', '91', '5', '13'), 
('Delta Air Lines', '2019-05-30T14:38', '2019-05-31T13:37', '1379', '4551', '300', 'DL 497', 'A350', '181', '14', '22'), 
('JetBlue Airways', '2019-07-18T01:01', '2019-07-19T07:18', '1817', '5384', '500', 'B6 1240', 'CRJ1000', '555', '23', '26'), 
('Delta Air Lines', '2018-06-12T16:18', '2018-06-12T19:12', '174', '5203', '200', 'DL 1726', 'A330', '294', '23', '6'), 
('British Airways', '2018-12-02T16:46', '2018-12-03T14:03', '1277', '9813', '200', 'BA 1236', 'A319', '375', '5', '26'), 
('Air Canada', '2019-12-30T22:11', '2019-12-30T24:35', '144', '6184', '1000', 'AC 144', 'E-170', '205', '24', '29'), 
('Alaska Airlines', '2019-05-12T22:55', '2019-05-13T07:56', '541', '5115', '500', 'AS 1052', 'A330', '201', '7', '21'), 
('Alaska Airlines', '2018-09-19T01:28', '2018-09-20T05:52', '1704', '3550', '500', 'AS 1237', 'A300', '195', '4', '21'), 
('Alaska Airlines', '2019-08-27T17:51', '2019-08-27T22:33', '282', '9440', '200', 'AS 804', 'A330', '463', '8', '18'), 
('Norwegian', '2018-04-14T02:20', '2018-04-15T04:44', '1584', '3463', '500', 'NW 320', 'E-190', '369', '13', '15'), 
('Delta Air Lines', '2019-02-19T04:38', '2019-02-20T08:22', '1664', '3635', '1000', 'DL 567', 'A300', '472', '5', '4'), 
('British Airways', '2019-02-24T01:35', '2019-02-25T07:05', '1770', '5613', '500', 'BA 978', 'Boeing 767', '383', '28', '27'), 
('American Airlines', '2019-12-15T17:33', '2019-12-16T08:26', '893', '3476', '200', 'AA 844', 'CRJ705', '77', '19', '2'), 
('Air Canada', '2018-07-06T07:57', '2018-07-07T13:12', '1755', '6222', '200', 'AC 334', 'CRJ700', '360', '10', '19'), 
('Lufthansa', '2018-08-30T10:28', '2018-08-31T05:56', '1168', '5424', '200', 'LH 852', 'E-195', '469', '7', '15'), 
('British Airways', '2018-11-02T07:28', '2018-11-02T11:23', '235', '5072', '1000', 'BA 1131', 'A220', '433', '24', '8'), 
('SAS', '2019-07-17T07:48', '2019-07-18T03:35', '1187', '3746', '500', 'SA 579', 'A380', '295', '4', '15'), 
('Lufthansa', '2019-06-12T13:56', '2019-06-13T01:11', '675', '3062', '300', 'LH 1546', 'A310', '589', '17', '1'), 
('JetBlue Airways', '2019-11-20T08:50', '2019-11-21T01:08', '978', '4347', '500', 'B6 699', 'A350', '547', '9', '12'), 
('Delta Air Lines', '2019-04-10T11:07', '2019-04-11T21:09', '2042', '2651', '200', 'DL 358', 'SR-71 Blackbird', '486', '18', '23'), 
('Norwegian', '2018-03-24T14:59', '2018-03-25T04:18', '799', '4445', '1000', 'NW 967', 'CRJ705', '288', '1', '24'), 
('British Airways', '2018-05-29T18:31', '2018-05-30T07:12', '761', '1388', '300', 'BA 1845', 'CRJ900', '164', '17', '26'), 
('Alaska Airlines', '2019-09-26T18:14', '2019-09-26T23:57', '343', '5513', '200', 'AS 1108', 'A330', '80', '19', '9'), 
('SAS', '2018-06-29T15:37', '2018-06-30T10:50', '1153', '3735', '300', 'SA 1122', 'CRJ900', '204', '27', '17'), 
('Air Canada', '2019-12-19T01:17', '2019-12-20T13:18', '2161', '1220', '300', 'AC 440', 'A380', '309', '23', '28'), 
('WOW Air', '2018-07-16T03:13', '2018-07-16T11:53', '520', '5717', '500', 'WA 203', 'Boeing 737', '422', '27', '1'), 
('Frontier Airlines', '2019-02-30T09:53', '2019-02-30T11:36', '103', '3007', '300', 'F9 1830', 'A330', '211', '28', '26'), 
('SAS', '2019-12-20T12:18', '2019-12-21T02:56', '878', '9720', '300', 'SA 523', 'A330', '571', '11', '14'), 
('Alaska Airlines', '2018-08-11T23:57', '2018-08-11T25:40', '103', '2316', '200', 'AS 1539', 'Boeing 777', '222', '20', '10'), 
('WOW Air', '2019-09-22T04:26', '2019-09-23T12:40', '1934', '2749', '300', 'WA 1944', 'A300', '423', '3', '7'), 
('Delta Air Lines', '2018-11-02T11:14', '2018-11-03T14:16', '1622', '563', '200', 'DL 523', 'A350', '409', '8', '15'), 
('British Airways', '2018-08-05T18:35', '2018-08-06T09:15', '880', '2685', '200', 'BA 237', 'Boeing 747', '411', '1', '9'), 
('Air Canada', '2018-11-05T09:57', '2018-11-05T19:04', '547', '5872', '500', 'AC 686', 'Boeing 787', '249', '24', '1'), 
('Lufthansa', '2019-07-26T02:15', '2019-07-27T04:54', '1599', '6997', '300', 'LH 467', 'CRJ900', '460', '18', '8'), 
('Air Canada', '2019-12-01T18:01', '2019-12-01T23:02', '301', '1049', '500', 'AC 347', 'A380', '589', '9', '4'), 
('American Airlines', '2018-06-04T00:13', '2018-06-04T13:06', '773', '5678', '1000', 'AA 297', 'Boeing 737', '78', '3', '8'), 
('Frontier Airlines', '2019-08-07T11:01', '2019-08-07T22:30', '689', '1322', '500', 'F9 1172', 'A300', '458', '26', '3'), 
('British Airways', '2018-06-13T16:37', '2018-06-13T21:03', '266', '1310', '200', 'BA 1893', 'E-190', '75', '1', '10'), 
('Finnair', '2018-12-26T08:58', '2018-12-27T16:10', '1872', '4734', '500', 'FA 988', 'A340', '412', '5', '6'), 
('Finnair', '2018-10-05T09:11', '2018-10-06T21:40', '2189', '7806', '200', 'FA 596', 'E-170', '156', '1', '15'), 
('SAS', '2019-07-18T05:49', '2019-07-19T11:46', '1797', '2880', '300', 'SA 1269', 'E-190', '415', '0', '27'), 
('Air Canada', '2019-10-08T12:48', '2019-10-08T14:55', '127', '3119', '500', 'AC 209', 'SR-71 Blackbird', '361', '0', '16'), 
('British Airways', '2019-09-23T10:41', '2019-09-23T13:39', '178', '4116', '300', 'BA 702', 'Boeing 737', '244', '17', '15'), 
('WOW Air', '2019-11-29T12:26', '2019-11-30T01:37', '791', '6432', '200', 'WA 200', 'CRJ705', '591', '8', '9'), 
('Alaska Airlines', '2018-04-18T11:13', '2018-04-19T07:18', '1205', '3787', '500', 'AS 737', 'Boeing 737', '197', '2', '3'), 
('British Airways', '2019-11-18T01:28', '2019-11-18T16:31', '903', '3478', '1000', 'BA 1671', 'A380', '167', '5', '15'), 
('Delta Air Lines', '2018-04-07T21:08', '2018-04-07T23:20', '132', '9676', '200', 'DL 470', 'A318', '431', '21', '11'), 
('WOW Air', '2019-11-10T12:01', '2019-11-11T00:00', '719', '8661', '500', 'WA 372', 'Boeing 787', '350', '24', '9'), 
('Air Canada', '2019-11-21T22:18', '2019-11-21T23:40', '82', '7582', '200', 'AC 1734', 'A350', '155', '17', '21'), 
('Frontier Airlines', '2019-08-21T10:23', '2019-08-22T15:46', '1763', '4042', '500', 'F9 969', 'A321', '306', '24', '3'), 
('Delta Air Lines', '2018-08-28T21:05', '2018-08-28T23:48', '163', '5591', '300', 'DL 907', 'Boeing 737', '340', '17', '26'), 
('WOW Air', '2019-12-19T21:57', '2019-12-20T22:51', '1494', '9595', '300', 'WA 1354', 'A320', '88', '27', '22'), 
('JetBlue Airways', '2018-04-25T04:11', '2018-04-26T19:05', '2334', '4272', '300', 'B6 366', 'A321', '412', '22', '12'), 
('British Airways', '2019-11-02T03:58', '2019-11-03T06:58', '1620', '3991', '1000', 'BA 1396', 'Boeing 777', '173', '13', '17'), 
('Frontier Airlines', '2019-10-05T12:07', '2019-10-06T11:56', '1429', '6062', '200', 'F9 783', 'Boeing 747', '464', '14', '19'), 
('JetBlue Airways', '2019-05-18T23:50', '2019-05-18T23:33', '-17', '1130', '300', 'B6 454', 'CRJ1000', '93', '13', '2'), 
('JetBlue Airways', '2018-04-09T21:31', '2018-04-10T02:35', '304', '7734', '500', 'B6 344', 'A300', '158', '1', '12'), 
('SAS', '2019-06-03T21:28', '2019-06-04T19:10', '1302', '1282', '300', 'SA 1068', 'Millennium Falcon', '179', '18', '5'), 
('British Airways', '2019-04-19T13:08', '2019-04-20T12:32', '1404', '1772', '500', 'BA 895', 'A300', '367', '25', '15'), 
('Alaska Airlines', '2018-06-08T09:22', '2018-06-08T20:56', '694', '7912', '1000', 'AS 528', 'E-170', '554', '22', '20'), 
('Air Canada', '2018-08-20T04:10', '2018-08-21T10:54', '1844', '5015', '500', 'AC 1544', 'A350', '572', '13', '14'), 
('Alaska Airlines', '2018-12-15T15:47', '2018-12-15T20:38', '291', '7974', '200', 'AS 1895', 'A318', '249', '28', '23'), 
('Air Canada', '2018-08-04T08:41', '2018-08-05T13:47', '1746', '6580', '500', 'AC 565', 'E-190', '165', '4', '1'), 
('SAS', '2019-07-14T11:25', '2019-07-14T20:38', '553', '1279', '200', 'SA 1773', 'A330', '564', '7', '16'), 
('Air Canada', '2018-08-09T11:59', '2018-08-10T21:29', '2010', '5734', '300', 'AC 979', 'SR-71 Blackbird', '92', '29', '22'), 
('Frontier Airlines', '2018-10-04T02:17', '2018-10-05T02:21', '1444', '9946', '200', 'F9 402', 'CRJ1000', '426', '21', '23'), 
('SAS', '2019-10-25T11:35', '2019-10-26T16:02', '1707', '7924', '200', 'SA 1327', 'Boeing 747', '492', '22', '5'), 
('Lufthansa', '2018-09-06T14:10', '2018-09-06T17:36', '206', '9725', '200', 'LH 848', 'A350', '319', '18', '4'), 
('Norwegian', '2018-02-19T11:30', '2018-02-19T16:34', '304', '7374', '500', 'NW 585', 'CRJ700', '427', '7', '27'), 
('Lufthansa', '2019-07-29T19:02', '2019-07-30T12:14', '1032', '5038', '1000', 'LH 1000', 'E-195', '519', '24', '9'), 
('Delta Air Lines', '2019-08-28T19:33', '2019-08-28T21:11', '98', '3033', '500', 'DL 1470', 'A310', '150', '24', '15'), 
('SAS', '2018-02-05T02:27', '2018-02-05T14:16', '709', '8295', '200', 'SA 415', 'Boeing 767', '575', '18', '3'), 
('SAS', '2019-04-05T13:31', '2019-04-05T23:44', '613', '7919', '500', 'SA 783', 'A321', '333', '23', '7'), 
('Norwegian', '2019-06-25T01:10', '2019-06-25T20:13', '1143', '2116', '500', 'NW 1384', 'CRJ700', '447', '0', '1'), 
('SAS', '2019-10-29T16:21', '2019-10-29T20:15', '234', '1438', '1000', 'SA 597', 'A320', '396', '18', '28'), 
('Finnair', '2018-08-25T09:02', '2018-08-26T08:49', '1427', '8119', '500', 'FA 1278', 'A318', '593', '16', '10'), 
('Frontier Airlines', '2019-11-22T03:15', '2019-11-22T07:04', '229', '2893', '300', 'F9 192', 'E-195', '579', '8', '14'), 
('American Airlines', '2019-03-12T13:17', '2019-03-13T18:28', '1751', '6155', '500', 'AA 863', 'CRJ1000', '87', '28', '8'), 
('Air Canada', '2018-08-25T21:24', '2018-08-25T23:35', '131', '3291', '300', 'AC 1560', 'Boeing 777', '429', '14', '6'), 
('Lufthansa', '2019-04-16T14:41', '2019-04-16T21:48', '427', '8078', '500', 'LH 552', 'E-190', '369', '24', '3'), 
('Lufthansa', '2019-11-19T18:56', '2019-11-20T09:49', '893', '2321', '300', 'LH 1288', 'Boeing 787', '388', '19', '12'), 
('Delta Air Lines', '2018-05-29T08:34', '2018-05-29T14:08', '334', '1772', '1000', 'DL 994', 'A321', '538', '3', '9'), 
('JetBlue Airways', '2019-03-16T11:52', '2019-03-16T22:30', '638', '6441', '1000', 'B6 1972', 'Boeing 787', '317', '23', '8'), 
('Finnair', '2019-10-14T21:30', '2019-10-14T23:46', '136', '1657', '1000', 'FA 1625', 'A321', '538', '26', '4'), 
('Lufthansa', '2018-02-12T07:31', '2018-02-13T01:27', '1076', '2750', '1000', 'LH 1883', 'CRJ700', '303', '19', '12'), 
('Frontier Airlines', '2018-04-20T13:59', '2018-04-21T21:31', '1892', '3575', '300', 'F9 1941', 'CRJ700', '546', '23', '22'), 
('Delta Air Lines', '2018-03-30T16:58', '2018-03-30T23:31', '393', '3863', '200', 'DL 1597', 'Boeing 737', '569', '16', '19'), 
('Norwegian', '2019-07-05T20:17', '2019-07-05T23:08', '171', '4756', '500', 'NW 1325', 'SR-71 Blackbird', '208', '15', '9'), 
('Alaska Airlines', '2018-11-16T02:13', '2018-11-16T04:05', '112', '8282', '200', 'AS 1748', 'CRJ700', '86', '21', '14'), 
('Frontier Airlines', '2019-06-14T01:19', '2019-06-14T22:41', '1282', '7067', '200', 'F9 889', 'A310', '377', '5', '8'), 
('Norwegian', '2018-06-13T16:02', '2018-06-14T18:49', '1607', '597', '500', 'NW 709', 'A318', '235', '16', '19'), 
('WOW Air', '2019-08-18T20:29', '2019-08-18T23:30', '181', '3010', '500', 'WA 598', 'Boeing 767', '574', '7', '2'), 
('Frontier Airlines', '2019-04-22T03:32', '2019-04-23T13:23', '2031', '7788', '300', 'F9 1615', 'A330', '416', '11', '2'), 
('British Airways', '2018-07-11T14:32', '2018-07-12T18:15', '1663', '684', '1000', 'BA 1259', 'A300', '204', '18', '15'), 
('JetBlue Airways', '2019-11-03T17:00', '2019-11-03T21:04', '244', '3850', '300', 'B6 1732', 'A330', '357', '24', '5'), 
('Lufthansa', '2019-03-22T01:42', '2019-03-22T09:28', '466', '1571', '200', 'LH 1255', 'A321', '110', '25', '7'), 
('British Airways', '2019-08-28T17:29', '2019-08-28T21:44', '255', '9525', '1000', 'BA 667', 'Millennium Falcon', '80', '17', '20'), 
('Finnair', '2019-05-28T13:21', '2019-05-28T18:14', '293', '5076', '200', 'FA 532', 'E-175', '201', '22', '29'), 
('Lufthansa', '2019-04-02T08:43', '2019-04-02T20:54', '731', '7976', '500', 'LH 1969', 'A300', '500', '13', '11'), 
('Frontier Airlines', '2019-12-26T03:06', '2019-12-26T20:30', '1044', '3403', '500', 'F9 113', 'A340', '228', '20', '3'), 
('Alaska Airlines', '2019-01-29T02:05', '2019-01-30T03:39', '1534', '3947', '500', 'AS 647', 'Boeing 777', '461', '1', '8'), 
('SAS', '2018-10-13T09:27', '2018-10-14T20:44', '2117', '3145', '300', 'SA 1194', 'CRJ700', '518', '24', '6'), 
('Lufthansa', '2019-05-30T09:46', '2019-05-31T02:14', '988', '2663', '1000', 'LH 1209', 'Boeing 787', '219', '26', '5'), 
('SAS', '2019-10-10T05:46', '2019-10-10T12:21', '395', '7724', '1000', 'SA 362', 'A380', '592', '4', '26'), 
('Finnair', '2019-11-18T04:12', '2019-11-19T02:54', '1362', '5016', '500', 'FA 804', 'E-170', '238', '8', '25'), 
('JetBlue Airways', '2019-10-25T12:41', '2019-10-25T21:38', '537', '1337', '300', 'B6 624', 'SR-71 Blackbird', '538', '6', '22'), 
('British Airways', '2018-09-02T08:01', '2018-09-03T14:24', '1823', '4706', '500', 'BA 148', 'Boeing 787', '415', '14', '6'), 
('Air Canada', '2018-11-22T18:59', '2018-11-23T20:21', '1522', '5936', '300', 'AC 1659', 'E-190', '519', '2', '6'), 
('Alaska Airlines', '2019-06-02T18:54', '2019-06-03T12:10', '1036', '4740', '300', 'AS 1017', 'Boeing 787', '197', '29', '27'), 
('JetBlue Airways', '2019-05-19T04:02', '2019-05-19T21:37', '1055', '5357', '200', 'B6 1015', 'Boeing 737', '90', '17', '29'), 
('JetBlue Airways', '2019-11-14T10:48', '2019-11-14T16:02', '314', '6383', '200', 'B6 1373', 'Boeing 747', '368', '14', '9'), 
('Alaska Airlines', '2018-03-07T15:30', '2018-03-07T19:26', '236', '8100', '1000', 'AS 1103', 'SR-71 Blackbird', '311', '17', '23'), 
('WOW Air', '2019-03-20T16:29', '2019-03-20T20:28', '239', '914', '200', 'WA 312', 'E-170', '569', '26', '7'), 
('JetBlue Airways', '2019-07-15T22:09', '2019-07-16T15:29', '1040', '3442', '1000', 'B6 331', 'A380', '88', '23', '19'), 
('SAS', '2018-03-18T03:11', '2018-03-19T21:20', '2529', '5392', '500', 'SA 1774', 'SR-71 Blackbird', '502', '1', '6'), 
('British Airways', '2019-09-13T00:11', '2019-09-13T22:20', '1329', '2174', '200', 'BA 1298', 'CRJ700', '438', '5', '6'), 
('Alaska Airlines', '2019-03-27T18:35', '2019-03-28T01:56', '441', '9921', '200', 'AS 683', 'A300', '589', '13', '0'), 
('WOW Air', '2018-04-08T17:13', '2018-04-09T21:22', '1689', '8814', '1000', 'WA 1748', 'CRJ700', '435', '14', '9'), 
('British Airways', '2019-08-17T16:03', '2019-08-18T11:14', '1151', '7282', '300', 'BA 1302', 'A340', '70', '19', '25'), 
('British Airways', '2018-08-17T21:43', '2018-08-17T23:26', '103', '1184', '500', 'BA 1120', 'Boeing 747', '347', '10', '19'), 
('Finnair', '2018-03-17T03:57', '2018-03-17T10:01', '364', '8806', '500', 'FA 886', 'CRJ1000', '314', '24', '10'), 
('Finnair', '2019-02-25T10:26', '2019-02-26T10:39', '1453', '6943', '200', 'FA 655', 'CRJ900', '585', '12', '23'), 
('British Airways', '2019-03-10T07:05', '2019-03-10T10:36', '211', '3427', '1000', 'BA 542', 'E-170', '88', '11', '18'), 
('Finnair', '2019-10-25T03:06', '2019-10-26T21:16', '2530', '3636', '300', 'FA 326', 'E-175', '504', '29', '8'), 
('WOW Air', '2019-08-21T17:36', '2019-08-22T12:05', '1109', '2801', '500', 'WA 949', 'A320', '599', '23', '10'), 
('American Airlines', '2019-07-05T12:55', '2019-07-05T18:05', '310', '9626', '300', 'AA 333', 'Boeing 767', '553', '1', '23'), 
('American Airlines', '2019-10-03T22:32', '2019-10-03T24:07', '95', '7530', '200', 'AA 1671', 'CRJ900', '131', '2', '14'), 
('WOW Air', '2018-02-10T22:12', '2018-02-11T09:34', '682', '7433', '300', 'WA 890', 'A319', '453', '9', '18'), 
('SAS', '2019-12-08T09:29', '2019-12-09T16:39', '1870', '8500', '500', 'SA 1739', 'CRJ705', '335', '2', '24'), 
('Air Canada', '2018-03-23T06:54', '2018-03-23T12:08', '314', '1932', '200', 'AC 1415', 'A300', '551', '10', '17'), 
('JetBlue Airways', '2018-11-02T17:57', '2018-11-02T22:57', '300', '3612', '200', 'B6 809', 'Boeing 747', '589', '10', '2'), 
('Delta Air Lines', '2018-05-12T21:54', '2018-05-12T23:57', '123', '9470', '500', 'DL 1668', 'Boeing 737', '71', '25', '28'), 
('Delta Air Lines', '2018-02-14T16:12', '2018-02-15T11:33', '1161', '8686', '1000', 'DL 1207', 'A319', '297', '23', '4'), 
('American Airlines', '2019-10-13T05:57', '2019-10-14T15:23', '2006', '4998', '500', 'AA 1495', 'A330', '162', '11', '21'), 
('American Airlines', '2018-09-20T20:40', '2018-09-20T23:05', '145', '2812', '500', 'AA 172', 'A318', '290', '7', '23'), 
('Norwegian', '2019-06-06T03:58', '2019-06-06T17:39', '821', '1178', '500', 'NW 743', 'Boeing 747', '573', '9', '2'), 
('JetBlue Airways', '2018-03-19T08:21', '2018-03-20T11:54', '1653', '2905', '300', 'B6 1962', 'A300', '120', '19', '12'), 
('Frontier Airlines', '2019-08-08T15:44', '2019-08-08T17:16', '92', '9561', '200', 'F9 574', 'A310', '301', '16', '13'), 
('WOW Air', '2018-01-16T17:03', '2018-01-17T01:20', '497', '750', '300', 'WA 261', 'E-175', '583', '1', '6'), 
('Frontier Airlines', '2019-03-12T12:25', '2019-03-13T02:02', '817', '3419', '500', 'F9 475', 'CRJ900', '142', '16', '23'), 
('JetBlue Airways', '2018-05-11T19:01', '2018-05-12T14:11', '1150', '8243', '300', 'B6 1726', 'Boeing 737', '532', '14', '28'), 
('British Airways', '2018-10-20T08:02', '2018-10-21T21:42', '2260', '4519', '300', 'BA 944', 'CRJ700', '146', '3', '18'), 
('Frontier Airlines', '2019-03-04T20:53', '2019-03-05T04:10', '437', '8353', '1000', 'F9 770', 'E-170', '229', '19', '25'), 
('SAS', '2019-03-10T02:12', '2019-03-11T12:30', '2058', '4847', '300', 'SA 1895', 'A350', '161', '0', '17'), 
('Norwegian', '2019-04-29T00:42', '2019-04-29T06:48', '366', '7415', '300', 'NW 1959', 'Boeing 737', '224', '4', '20'), 
('Finnair', '2018-02-22T04:02', '2018-02-23T03:20', '1398', '8164', '200', 'FA 534', 'E-170', '302', '4', '0'), 
('Norwegian', '2018-07-07T10:26', '2018-07-07T12:20', '114', '2434', '500', 'NW 136', 'A300', '530', '23', '6'), 
('WOW Air', '2018-08-13T18:46', '2018-08-14T22:33', '1667', '8576', '300', 'WA 1063', 'SR-71 Blackbird', '370', '13', '9'), 
('Delta Air Lines', '2018-10-02T08:35', '2018-10-03T10:10', '1535', '7300', '200', 'DL 1095', 'CRJ700', '344', '5', '24'), 
('Delta Air Lines', '2019-03-19T12:45', '2019-03-19T16:51', '246', '7497', '300', 'DL 1876', 'A350', '165', '7', '2'), 
('JetBlue Airways', '2019-11-18T21:04', '2019-11-19T00:11', '187', '7095', '500', 'B6 190', 'A300', '585', '16', '24'), 
('SAS', '2018-08-18T02:31', '2018-08-18T21:05', '1114', '4347', '1000', 'SA 1731', 'CRJ700', '362', '27', '4'), 
('Frontier Airlines', '2018-06-04T10:18', '2018-06-05T08:08', '1310', '9944', '500', 'F9 1797', 'Boeing 787', '415', '24', '23'), 
('SAS', '2019-07-02T18:50', '2019-07-03T16:25', '1295', '4188', '1000', 'SA 905', 'CRJ1000', '301', '29', '10'), 
('Lufthansa', '2019-11-03T05:04', '2019-11-03T16:53', '709', '8221', '500', 'LH 420', 'A321', '156', '19', '25'), 
('Frontier Airlines', '2019-08-22T07:39', '2019-08-23T07:04', '1405', '8160', '1000', 'F9 1952', 'E-175', '496', '13', '5'), 
('Alaska Airlines', '2019-02-15T11:45', '2019-02-15T15:45', '240', '4446', '500', 'AS 1322', 'A300', '277', '28', '13'), 
('Delta Air Lines', '2018-04-03T12:27', '2018-04-04T13:24', '1497', '3419', '500', 'DL 1126', 'Boeing 747', '569', '22', '21'), 
('Lufthansa', '2018-08-04T01:29', '2018-08-05T05:16', '1667', '631', '500', 'LH 104', 'A350', '583', '19', '12'), 
('Air Canada', '2018-04-22T16:44', '2018-04-22T22:58', '374', '2278', '200', 'AC 1741', 'A380', '140', '27', '26'), 
('Frontier Airlines', '2019-01-24T23:25', '2019-01-25T02:27', '182', '4632', '500', 'F9 1151', 'A380', '231', '5', '9'), 
('Frontier Airlines', '2018-06-23T06:15', '2018-06-24T19:39', '2244', '6763', '500', 'F9 432', 'CRJ1000', '345', '8', '15'), 
('SAS', '2018-08-27T14:54', '2018-08-27T18:34', '220', '2001', '300', 'SA 369', 'A321', '249', '10', '8'), 
('Frontier Airlines', '2018-10-28T12:31', '2018-10-28T23:33', '662', '9659', '1000', 'F9 1759', 'A310', '331', '8', '12'), 
('Norwegian', '2019-01-12T04:54', '2019-01-12T15:55', '661', '8658', '1000', 'NW 987', 'E-195', '203', '1', '25'), 
('Air Canada', '2019-11-12T10:28', '2019-11-12T22:10', '702', '7854', '500', 'AC 580', 'A319', '63', '3', '12'), 
('Air Canada', '2019-02-17T13:48', '2019-02-17T17:53', '245', '6336', '1000', 'AC 1959', 'A340', '304', '2', '8'), 
('Finnair', '2019-02-29T00:09', '2019-02-30T08:43', '1954', '9175', '200', 'FA 1285', 'E-175', '132', '2', '29'), 
('Alaska Airlines', '2019-04-13T11:07', '2019-04-14T07:55', '1248', '5094', '200', 'AS 1190', 'A220', '500', '28', '3'), 
('Norwegian', '2019-08-24T20:42', '2019-08-24T23:44', '182', '7140', '300', 'NW 513', 'Boeing 777', '60', '9', '7'), 
('SAS', '2019-11-16T11:31', '2019-11-16T19:01', '450', '1008', '1000', 'SA 590', 'A330', '293', '5', '21'), 
('Norwegian', '2019-05-20T00:04', '2019-05-20T22:36', '1352', '5123', '500', 'NW 134', 'A310', '154', '22', '18'), 
('Delta Air Lines', '2019-06-25T05:57', '2019-06-26T13:25', '1888', '2434', '300', 'DL 172', 'A319', '175', '13', '22'), 
('Norwegian', '2018-10-22T01:49', '2018-10-23T06:28', '1719', '1945', '300', 'NW 600', 'A350', '587', '7', '10'), 
('JetBlue Airways', '2019-08-16T17:56', '2019-08-16T21:07', '191', '8483', '200', 'B6 726', 'E-190', '197', '17', '11'), 
('JetBlue Airways', '2019-08-24T02:13', '2019-08-25T07:06', '1733', '5306', '200', 'B6 1699', 'A330', '296', '7', '11'), 
('Lufthansa', '2018-04-29T20:53', '2018-04-29T22:07', '74', '5064', '500', 'LH 182', 'A320', '318', '23', '8'), 
('British Airways', '2019-02-24T07:58', '2019-02-24T10:06', '128', '6155', '300', 'BA 532', 'A380', '133', '1', '7'), 
